To Sherri Ds `` compliment '' she sent me asking me did i even try the pizza,1
Um ... Did u read the review,1
Clearly I did n't and thats because your phone guy upselled me on a medium one topping,1
For miss sherri d to be an entrepreneur i guess she thinks its justified that her menu states one price but the price i was given over the phone was almost 10 $ more then what the menu states,1
The customer is always right ma'am,1
Maybe you havent been on your entrepreneur venture long enough to know that yet but i wouldnt give a dam if the pig or cow you get your meat from was made out of gold ... If your menu says one price and i call and hear something totally different im gna be put off by that,1
And your phone guy just thought i was going to go along with it and pay it,1
Instead of complaining to me about leaving a bad review you should be more focused on what u did to get it in the first place,1
Im a dancer in vegas and make a very comfortable living so it wasnt about the money it was the dishonesty in it,0
If i had looked at the menu and seen that price and it was consistent with what he said on the phone i would have ordered,1
So convincing me ur pizza is worth the 30 $ is not addressing the conflict at hand,0
Ur ignoring my issue to try n cover it up by saying everythings organic,0
I just went here with my boyfriend and customer service was horrible,0
The cashier was rude,0
did n't welcome us in just handed us a menu and asked `` what do you want '',0
We order a cheese pizza and some fries,1
The pizza was decent but the fries were n't even cooked they were super soggy and had no salt or seasoning,0
Not only were they not cooked but there was hair in them as well,0
The dining area itself is weird they only have two card tables in the very back and next to the tables the workers are just sitting there watching a movie,0
Very unprofessional,0
Maybe it 's the new management now but this place definitely went downhill,0
Well I tried this place since it was close to the hotel I was staying at,1
It was n't the most horrible pizza and chicken fingers I have ever had but pretty close to it,0
The fingers were thin and rubbery probably because they were cooked in a microwave and then covered with sauce,0
The pizza which was sliced in the box it was delivered in and that allowed the bottom of the box to fall apart tasted like the box,0
A cardboard flavored crust and the ingredients were minimal at best,2
I asked for extra onion and I think that it was one ring chopped into 6 pieces and placed as to where it would be cut,0
Not sure how the main page shows that they have 3 1/2 stars but I will not be recommending nor returning,1
For the cost I would have been better to go to a grocery store and nuked my own,0
The pizza was good,2
It 's nice to see a place like this open in Southern Highlands,2
The staff is very friendly and helpful,2
It was clean and plenty of seating,2
I would give this place a negative star if I could,0
Worst customer service ... Was trying to get 25 % discount and lady at the register said it was too late,0
Also other deals for special days on the menu but again no service to offer the upgrades,0
Too make matters worst no wings available,0
No sorry we are out,1
Manager is n't customer friendly either,0
Not worth the price of the pizza,0
Went in here for lunch yesterday to try it out since I am interested in eating at/supporting organic and non-gmo restaurants,1
Pizza was outstanding and fresh and fairly priced as well for quality ingredients like they are using,2
Two gentleman who were working there were also really good guys that were willing to talk about the quality of ingredients being used and gave the place an overall good vibe,1
Hope the owner expands over to green valley pkwy area as I think they would do well on this side of town by the track record of another organic spot near there,1
In future locations,1
my only recommendation would be to make it a bit more inviting to eat in as there were only a few small tables along the wall in this location,1
I will be bringing some more customers your way for sure,1
Keep up the good work,1
We have ordered several times but are disappointed with a pizza that looks like it was thrown against the wall and then boxed up,0
The person on the phone taking our order seemed delayed and had to repeat her questions,0
I called to report this and who ever I was directed to did n't seem apologetic,0
Needless to say,1
we wo n't be ordering from this pizza establishment any longer,0
The staff is hilarious and makes you feel welcomed,2
We 've been wanting to try this place for a while,1
The breadsticks are amazing,2
The pizza is really good as well,2
just wish they put a bigger portion of toppings on them,1
Definitely will be going back for more,2
Wow,1
What a pizza,2
We ordered the High Roller Pizza and a dozen of the pesto parm wings,1
with no regrets,2
On top of being all natural/organic ingredients and responsibly raised meats,1
golly it was delicious,2
Talk about a symphony of savory flavors,1
At least double the price of your run-of-the-mill pizza joint,1
but also double the quality,1
absolutely worth it for that once in a while,1
treat-yourself pizza night,1
We 'll be back,1
As I 'm new to the area figured I 'd give this place a try ... First thing when walking in there 's really no comfy setting to dine in,0
There 's a few high tables and chairs,1
Now that 's ok if it 's mainly a take out spot,1
My best friend and I a huge pizza and wing guys,1
So naturally we ordered a large pepperoni and order of wings,1
It was $ 40,1
For a 14inch pizza,1
12 wings,1
and to smaller bottle drinks ( no fountains ) and very limited beverage selection,0
Now so far I 'm still on the fence,1
While sitting waiting for the food we both noticed something called wing Wednesday,1
This was 6 free wings when spending over $ 30,1
Although this was not offered to us we mentioned it,1
The younger kid behind the counter actually said they do n't offer it because it 's not cost effective for the company and it must be requested at time of order,0
Are you kidding me,1
So now the food comes,1
It 's a very thin crust pizza which is ok,2
It 's no where near an authentic quality pizza,1
It 's ok,1
not the worse not the best just ok,1
The wings were absolutely horrid,0
Rubbery,0
baked,1
and no real sauce,0
Overall we were very disappointed with the customer service,0
the quality,1
atmosphere,1
and mainly the price,1
Very very over priced,0
So the reason for the one star is everything adding up and weighing out to that,1
We will not be back and wish this place all the luck,1
So overpriced,0
30 to 40 dollars a pizza and it was terrible Awful crust,0
we ordered pepperoni,1
Ghastly,2
Makes Pizza Hut look like gourmet pizza,1
Do n't waste your money here,0
I 'd like to start by saying this Enrique M. guy and his girlfriend were complete assholes,1
I was in the restaurant when his version of what happened went down,1
